Domain,Area,Element,Item,Year,Unit,Value
"Emissions intensities","Brazil","Production","Meat, cattle","1961","tonnes","1369078"
"Emissions intensities","Brazil","Production","Meat, cattle","1962","tonnes","1355958"
"Emissions intensities","Brazil","Production","Meat, cattle","1963","tonnes","1360928"
"Emissions intensities","Brazil","Production","Meat, cattle","1964","tonnes","1437185"
"Emissions intensities","Brazil","Production","Meat, cattle","1965","tonnes","1496849"
"Emissions intensities","Brazil","Production","Meat, cattle","1966","tonnes","1452331"
"Emissions intensities","Brazil","Production","Meat, cattle","1967","tonnes","1505502"
"Emissions intensities","Brazil","Production","Meat, cattle","1968","tonnes","1694447"
"Emissions intensities","Brazil","Production","Meat, cattle","1969","tonnes","1826440"
"Emissions intensities","Brazil","Production","Meat, cattle","1970","tonnes","1845182"
"Emissions intensities","Brazil","Production","Meat, cattle","1971","tonnes","1794200"
"Emissions intensities","Brazil","Production","Meat, cattle","1972","tonnes","2095200"
"Emissions intensities","Brazil","Production","Meat, cattle","1973","tonnes","2202000"
"Emissions intensities","Brazil","Production","Meat, cattle","1974","tonnes","2030000"
"Emissions intensities","Brazil","Production","Meat, cattle","1975","tonnes","2156979"
"Emissions intensities","Brazil","Production","Meat, cattle","1976","tonnes","2370000"
"Emissions intensities","Brazil","Production","Meat, cattle","1977","tonnes","2445520"
"Emissions intensities","Brazil","Production","Meat, cattle","1978","tonnes","2570000"
"Emissions intensities","Brazil","Production","Meat, cattle","1979","tonnes","2650000"
"Emissions intensities","Brazil","Production","Meat, cattle","1980","tonnes","2850000"
"Emissions intensities","Brazil","Production","Meat, cattle","1981","tonnes","3000000"
"Emissions intensities","Brazil","Production","Meat, cattle","1982","tonnes","3050000"
"Emissions intensities","Brazil","Production","Meat, cattle","1983","tonnes","3250000"
"Emissions intensities","Brazil","Production","Meat, cattle","1984","tonnes","3420000"
"Emissions intensities","Brazil","Production","Meat, cattle","1985","tonnes","3480000"
"Emissions intensities","Brazil","Production","Meat, cattle","1986","tonnes","3600000"
"Emissions intensities","Brazil","Production","Meat, cattle","1987","tonnes","3690000"
"Emissions intensities","Brazil","Production","Meat, cattle","1988","tonnes","4050000"
"Emissions intensities","Brazil","Production","Meat, cattle","1989","tonnes","4225000"
"Emissions intensities","Brazil","Production","Meat, cattle","1990","tonnes","4115000"
"Emissions intensities","Brazil","Production","Meat, cattle","1991","tonnes","4510800"
"Emissions intensities","Brazil","Production","Meat, cattle","1992","tonnes","4715500"
"Emissions intensities","Brazil","Production","Meat, cattle","1993","tonnes","4806900"
"Emissions intensities","Brazil","Production","Meat, cattle","1994","tonnes","5136000"
"Emissions intensities","Brazil","Production","Meat, cattle","1995","tonnes","5710200"
"Emissions intensities","Brazil","Production","Meat, cattle","1996","tonnes","6186900"
"Emissions intensities","Brazil","Production","Meat, cattle","1997","tonnes","5921500"
"Emissions intensities","Brazil","Production","Meat, cattle","1998","tonnes","5794300"
"Emissions intensities","Brazil","Production","Meat, cattle","1999","tonnes","6413300"
"Emissions intensities","Brazil","Production","Meat, cattle","2000","tonnes","6578800"
"Emissions intensities","Brazil","Production","Meat, cattle","2001","tonnes","6823600"
"Emissions intensities","Brazil","Production","Meat, cattle","2002","tonnes","7139000"
"Emissions intensities","Brazil","Production","Meat, cattle","2003","tonnes","7230000"
"Emissions intensities","Brazil","Production","Meat, cattle","2004","tonnes","7774000"
"Emissions intensities","Brazil","Production","Meat, cattle","2005","tonnes","8592000"
"Emissions intensities","Brazil","Production","Meat, cattle","2006","tonnes","9020000"
"Emissions intensities","Brazil","Production","Meat, cattle","2007","tonnes","9303000"
"Emissions intensities","Brazil","Production","Meat, cattle","2008","tonnes","9024000"
"Emissions intensities","Brazil","Production","Meat, cattle","2009","tonnes","8935000"
"Emissions intensities","Brazil","Production","Meat, cattle","2010","tonnes","9115000"
